0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:01:54 +0530] "GET /HotelLivya_ServletApp/Food.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:01:56 +0530] "GET /HotelLivya_ServletApp/Dessert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:01:56 +0530] "GET /HotelLivya_ServletApp/Desserts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:02:01 +0530] "POST /HotelLivya_ServletApp/dessert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:02:01 +0530] "GET /HotelLivya_ServletApp/Food.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:02:03 +0530] "GET /HotelLivya_ServletApp/View.jsp HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:02:15 +0530] "GET /HotelLivya_ServletApp/FoodBill.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:02:29 +0530] "POST /HotelLivya_ServletApp/captcha HTTP/1.1" 200 2398
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:03:03 +0530] "POST /HotelLivya_ServletApp/captcha HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [08/Oct/2023:23:03:12 +0530] "POST /HotelLivya_ServletApp/Payment HTTP/1.1" 200 133
